a1,a2,max_dim,iLayer,logZ,magnetizationX,magnetizationY,magnetizationZ,magnetizationXY,magnetizationXYZ
0.0,2.449489742783178,24,0,-inf,0.0,0.0,0.0,0.0,0.0
0.0,2.449489742783178,24,1,-15.544794223254646,0.0,0.0,1.7597653817075996,0.0,1.7597653817075996
0.0,2.449489742783178,24,2,2.029029443266951,0.0,0.0,1.8387006190963944,0.0,1.8387006190963944
0.0,2.449489742783178,24,3,1.8958588315099765,0.0,0.0,1.9860275533142924,0.0,1.9860275533142924
0.0,2.449489742783178,24,4,1.836612378966778,0.0,0.0,1.9887286760032628,0.0,1.9887286760032628
0.0,2.449489742783178,24,5,1.8143965517555891,0.0,0.0,1.9906575429998217,0.0,1.9906575429998217
0.0,2.449489742783178,24,6,1.8034618252105692,0.0,0.0,1.9903017282397275,0.0,1.9903017282397275
0.0,2.449489742783178,24,7,1.7980464884493284,0.0,0.0,1.990301452476551,0.0,1.990301452476551
0.0,2.449489742783178,24,8,1.7953388821963143,0.0,0.0,1.9903014491589817,0.0,1.9903014491589817
0.0,2.449489742783178,24,9,1.7939850791092808,0.0,0.0,1.9903014491084576,0.0,1.9903014491084576
0.0,2.449489742783178,24,10,1.793308177565764,0.0,0.0,1.9903014491084583,0.0,1.9903014491084583
0.0,2.449489742783178,24,11,1.7929697267940057,0.0,0.0,1.9903014491084587,0.0,1.9903014491084587
0.0,2.449489742783178,24,12,1.7928005014081263,0.0,0.0,1.9903014491084567,0.0,1.9903014491084567
0.0,2.449489742783178,24,13,1.7927158887151868,0.0,0.0,1.990301449108456,0.0,1.990301449108456
0.0,2.449489742783178,24,14,1.792673582368717,0.0,0.0,1.9903014491084527,0.0,1.9903014491084527
0.0,2.449489742783178,24,15,1.7926524291954822,0.0,0.0,1.990301449108452,0.0,1.990301449108452
0.0,2.449489742783178,24,16,1.7926418526088648,0.0,0.0,1.9903014491084523,0.0,1.9903014491084523
0.0,2.449489742783178,24,17,1.792636564315556,0.0,0.0,1.9903014491084503,0.0,1.9903014491084503
0.0,2.449489742783178,24,18,1.7926339201689017,0.0,0.0,1.9903014491084496,0.0,1.9903014491084496
0.0,2.449489742783178,24,19,1.7926325980955744,0.0,0.0,1.990301449108447,0.0,1.990301449108447
0.0,2.449489742783178,24,20,1.7926319370589108,0.0,0.0,1.9903014491084483,0.0,1.9903014491084483
0.0,2.449489742783178,24,21,1.792631606540579,0.0,0.0,1.990301449108447,0.0,1.990301449108447
0.0,2.449489742783178,24,22,1.792631441281413,0.0,0.0,1.9903014491084483,0.0,1.9903014491084483
0.0,2.449489742783178,24,23,1.79263135865183,0.0,0.0,1.990301449108446,0.0,1.990301449108446
0.0,2.449489742783178,24,24,1.7926313173370387,0.0,0.0,1.990301449108445,0.0,1.990301449108445
0.0,2.449489742783178,24,25,1.792631296679643,0.0,0.0,1.9903014491084468,0.0,1.9903014491084468
0.0,2.449489742783178,24,26,1.792631286350945,0.0,0.0,1.990301449108447,0.0,1.990301449108447
0.0,2.449489742783178,24,27,1.792631281186596,0.0,0.0,1.990301449108445,0.0,1.990301449108445
0.0,2.449489742783178,24,28,1.7926312786044216,0.0,0.0,1.990301449108444,0.0,1.990301449108444
0.0,2.449489742783178,24,29,1.7926312773133344,0.0,0.0,1.9903014491084436,0.0,1.9903014491084436
