a1,a2,max_a3,min_a3,max_obs,min_obs,dist
0.0,0.0,3.577708763999664,2.683281572999748,2.9999999994689257,4.097373618637936e-09,0.8944271909999157
0.0,0.3651483716701107,3.577708763999664,2.683281572999748,2.999323221433888,9.314117990439534e-17,0.8944271909999157
0.0,0.7302967433402215,3.577708763999664,2.683281572999748,2.9886667333539423,1.739822139558202e-16,0.8944271909999157
0.0,1.0954451150103324,3.577708763999664,2.683281572999748,2.940517953354062,4.454257341738647e-06,0.8944271909999157
0.0,1.460593486680443,3.577708763999664,2.683281572999748,2.815373604161199,0.0072677414176255,0.8944271909999157
0.0,1.8257418583505536,2.683281572999748,1.788854381999832,1.740139853597083,6.200679191950004e-05,0.8944271909999162
0.0,2.1908902300206647,0.894427190999916,0.0,0.8762085717213416,0.0039284271119175,0.894427190999916
0.0,2.5560386016907755,8.94427190999916,0.0,0.8127469038911421,,8.94427190999916
0.0,2.921186973360886,8.94427190999916,0.0,1.5333634955680662,,8.94427190999916
0.0,3.286335345030997,8.94427190999916,0.0,1.4503384563810238,,8.94427190999916
0.0,3.651483716701108,8.94427190999916,0.0,1.7779594954879907,,8.94427190999916
0.2309401076758503,0.0,3.577708763999664,2.683281572999748,2.999999969353708,5.2191816836130306e-17,0.8944271909999157
0.2309401076758503,0.3651483716701107,3.577708763999664,2.683281572999748,2.999411079076715,8.824997969632442e-17,0.8944271909999157
0.2309401076758503,0.7302967433402215,3.577708763999664,2.683281572999748,2.988617074507166,1.237951617099984e-16,0.8944271909999157
0.2309401076758503,1.0954451150103324,3.577708763999664,2.683281572999748,2.938653347419813,1.2361178734497024e-16,0.8944271909999157
0.2309401076758503,1.460593486680443,3.577708763999664,2.683281572999748,2.807923968689621,2.332756958127508e-16,0.8944271909999157
0.2309401076758503,1.8257418583505536,2.683281572999748,1.788854381999832,1.1215778492977613,1.231664022541296e-16,0.8944271909999162
0.2309401076758503,2.1908902300206647,2.683281572999748,1.788854381999832,1.5132688267797323,5.227967758531927e-16,0.8944271909999162
0.2309401076758503,2.5560386016907755,2.683281572999748,1.788854381999832,1.6555491508114224,1.082192008047456e-15,0.8944271909999162
0.2309401076758503,2.921186973360886,0.0,1.788854381999832,1.6525843202824533,2.909423260087168e-13,1.788854381999832
0.2309401076758503,3.286335345030997,0.0,1.788854381999832,1.7728800149591528,3.620448646019098e-16,1.788854381999832
0.2309401076758503,3.651483716701108,8.94427190999916,0.0,1.7852273103676115,,8.94427190999916
0.4618802153517006,0.0,3.577708763999664,2.683281572999748,2.999982976011676,5.4212640652333355e-17,0.8944271909999157
0.4618802153517006,0.3651483716701107,3.577708763999664,2.683281572999748,2.999583253284429,1.0909047245765967e-16,0.8944271909999157
0.4618802153517006,0.7302967433402215,3.577708763999664,2.683281572999748,2.9879026607916006,1.259856786900597e-16,0.8944271909999157
0.4618802153517006,1.0954451150103324,3.577708763999664,2.683281572999748,2.924369608477598,1.6368925459363415e-16,0.8944271909999157
0.4618802153517006,1.460593486680443,3.577708763999664,2.683281572999748,2.7770888318611093,1.2475928206407323e-16,0.8944271909999157
0.4618802153517006,1.8257418583505536,3.577708763999664,2.683281572999748,2.470779044165782,1.4648354798609372e-15,0.8944271909999157
0.4618802153517006,2.1908902300206647,2.683281572999748,1.788854381999832,1.150942566216515,4.599324700126339e-16,0.8944271909999162
0.4618802153517006,2.5560386016907755,2.683281572999748,1.788854381999832,1.4248698621488152,3.2763065010582804e-14,0.8944271909999162
0.4618802153517006,2.921186973360886,1.788854381999832,0.894427190999916,1.0947609937171543,1.1614072409919977e-15,0.894427190999916
0.4618802153517006,3.286335345030997,2.683281572999748,1.788854381999832,1.6900753495546703,2.7224006610863353e-13,0.8944271909999162
0.4618802153517006,3.651483716701108,0.0,0.894427190999916,1.1839851392391738,1.5265519358976736e-15,0.894427190999916
0.6928203230275509,0.0,3.577708763999664,2.683281572999748,2.999962653518148,3.3192612180089177e-17,0.8944271909999157
0.6928203230275509,0.3651483716701107,3.577708763999664,2.683281572999748,2.999258798681926,6.151209022993315e-17,0.8944271909999157
0.6928203230275509,0.7302967433402215,3.577708763999664,2.683281572999748,2.982412840078037,1.797254626139226e-16,0.8944271909999157
0.6928203230275509,1.0954451150103324,3.577708763999664,2.683281572999748,2.882037359318242,2.909475358356729e-16,0.8944271909999157
0.6928203230275509,1.460593486680443,3.577708763999664,2.683281572999748,2.6488484589928256,1.6991835266788706e-16,0.8944271909999157
0.6928203230275509,1.8257418583505536,3.577708763999664,2.683281572999748,2.1806131602923857,4.208432007466436e-16,0.8944271909999157
0.6928203230275509,2.1908902300206647,2.683281572999748,1.788854381999832,1.1935653631260887,1.6470276228962526e-15,0.8944271909999162
0.6928203230275509,2.5560386016907755,2.683281572999748,1.788854381999832,1.0024166281882003,8.852107160269845e-15,0.8944271909999162
0.6928203230275509,2.921186973360886,2.683281572999748,1.788854381999832,1.4304637970283582,8.600071909410275e-13,0.8944271909999162
0.6928203230275509,3.286335345030997,8.94427190999916,0.0,0.3222758281904309,,8.94427190999916
0.6928203230275509,3.651483716701108,1.788854381999832,0.894427190999916,1.3712159767176286,7.342738688592078e-15,0.894427190999916
0.9237604307034012,0.0,4.47213595499958,3.577708763999664,2.999969835417322,2.7964847885337287e-16,0.8944271909999157
0.9237604307034012,0.3651483716701107,4.47213595499958,3.577708763999664,2.999491393634546,1.1124096744803964e-16,0.8944271909999157
0.9237604307034012,0.7302967433402215,4.47213595499958,3.577708763999664,2.992332319239607,7.312168427091261e-17,0.8944271909999157
