a1,a2,a3,obs_new,obs_min,obs_max,logZ_new,logZ_min,logZ_max,logZ,obs,a0,b0,b2,b4,b6
1.616580753730952,2.921186973360886,4.525362670772585,9.585442693064085e-31,3.9908140184007446e-25,0.526277828823344,3.68679755799065,3.6867766146015675,3.6925305915908666,,,1,1,0.6758637809342125,-0.06274678313818166,0.003463755934920971
1.616580753730952,3.286335345030997,3.24453681901233,4.652797711181892e-29,4.818449962676711e-26,0.11926696106393467,3.757900744194032,,3.745447993577772,,,1,1,0.6068601268308043,0.015900526747951414,-0.0061798998478038054
1.616580753730952,3.651483716701108,2.1243191701281567,0.38744680510039525,1.0469015104605234e-29,0.39752253951089533,3.8229970753302633,,,,,1,1,0.5396410083149078,0.09231716714969457,-0.015377421733650583
1.616580753730952,1.8257418583505536,5.519255580888826,4.875542499294145e-28,2.861255223635731e-28,7.176895396045603,,3.4680295205596723,3.467890041677734,,,1,1,0.8512238027426096,-0.25912503716929597,0.024481988157638294
1.616580753730952,2.1908902300206647,5.477656855330846,2.1953776251454076,2.2006290943833053,3.3287678381512005,3.5223990660377957,3.5220949983052208,,,,1,1,0.7959893389303375,-0.19768921514708326,0.018280629947697608
1.616580753730952,2.5560386016907755,5.180351528049012,0.38711035946600664,6.356275139475648e-24,0.7472231436254778,3.6144580360928575,3.612550154404599,3.618414907615986,,,1,1,0.7379136906544672,-0.13270191254537267,0.011368975621857335
1.616580753730952,0.0,5.050205384046096,8.961445497471743,5.267969584761524e-35,8.961454556409507,3.227920631415479,3.228114425577521,3.227943831719093,,,1,1,1.1198734126413845,-0.5569007608271281,0.05360810191669549
1.616580753730952,0.3651483716701107,5.071386887348584,8.806543003302753e-33,1.3018892245859635e-33,8.937989890562847,3.2376551996615857,,3.2370558205751028,,,1,1,1.0653365069275622,-0.49633688642797746,0.04758113323136723
1.616580753730952,0.7302967433402215,5.135149763269476,4.7485983257626255e-31,-9.274233774528405e-32,8.797725274226751,,3.266124512521221,3.266092099381465,,,1,1,1.0112727275761666,-0.4363644199818604,0.041672446136645634
1.616580753730952,1.0954451150103324,5.316066005394337,8.503284475903332,2.3663035675793807e-31,8.503361863393792,3.34544731859818,,3.34546846813859,,,1,1,0.9585106522937039,-0.37801908362190934,0.036089185059157286
1.616580753730952,1.460593486680443,5.419571495759074,7.921798481584751,2.951644370619178e-29,7.921943157817379,3.401483070498128,3.4015399003859774,3.4015031447069033,,,1,1,0.90488845754724,-0.3185985979319567,0.030290894115668602
0.2309401076758503,2.921186973360886,,,,,,,,,,1,1,,,
0.2309401076758503,3.286335345030997,,,,,,,,,,1,1,,,
0.2309401076758503,3.651483716701108,,,,,,,,,,1,1,,,
0.2309401076758503,1.8257418583505536,2.63791603371014,0.5136236409530033,0.0580063571712552,0.5324778138337746,2.46635329063124,2.46302116943613,2.4662934960927436,,,1,1,-1.259252050197584,0.5314489175991436,-0.04125675972570952
0.2309401076758503,2.1908902300206647,2.245184758560397,4.5323789548885725e-26,0.34284520272323965,0.7604590374067621,2.6359566710573135,,2.639280673682661,,,1,1,-1.3183879867830979,0.5977615805879086,-0.04843348612896065
0.2309401076758503,2.5560386016907755,2.3032701181321693,0.8417637395017121,0.8368268306769194,1.9452295610537085,,2.8392961883281185,2.849916754777792,,,1,1,-1.3725148496494837,0.6578129014277635,-0.0543579441024298
0.2309401076758503,0.0,2.80747724313676,9.003231949862261,8.208533833625567e-31,9.003260024176997,1.901607329809567,1.90169213111959,1.9017127577951976,,,1,1,-0.9835067580069273,0.22480359107645945,-0.010356725393681902
0.2309401076758503,0.3651483716701107,2.807368060130046,8.97844955087944,1.0999732128070105e-31,8.978456215403558,1.9552235639913176,,1.9552805609775852,,,1,1,-1.038280226901963,0.2856631694521267,-0.016442834874313507
0.2309401076758503,0.7302967433402215,2.7960130274318056,1.3143859653525466e-33,2.648021961836363e-33,8.571828625972714,,1.9730344303971392,1.9728822984817462,,,1,1,-1.09317864968246,0.3466789401846207,-0.02256018282631047
0.2309401076758503,1.0954451150103324,2.8448178314328993,4.008131324597338e-31,8.019703808177625e-32,7.281442044629657,2.1148537446099094,,2.114887140993075,,,1,1,-1.1474086298329644,0.40685915762962405,-0.02851042012080928
0.2309401076758503,1.460593486680443,2.849840249741737,5.50616249769622,1.7433597158918114e-29,5.495380232304838,2.278748080644371,2.2787149855579205,2.2787633170534423,,,1,1,-1.202125080935605,0.4676474637647975,-0.03458227515334213
0.0,2.921186973360886,,,,,,,,,,1,1,,,
0.0,3.286335345030997,,,,,,,,,,1,1,,,
0.0,3.651483716701108,,,,,,,,,,1,1,,,
0.0,1.8257418583505536,2.278048843581268,1.040027937220553,0.36541798047055957,1.7031181534107271,,2.41447059447354,2.4314230951685816,,,1,1,-1.6096607360461244,0.6615396313420191,-0.05187889529589459
0.0,2.1908902300206647,,,,,,,,,,1,1,,,
0.0,2.5560386016907755,,,,,,,,,,1,1,,,
0.0,0.0,2.778434563350875,5.447728275530615e-33,-8.613369365756918e-30,8.994803368020948,,1.750592062303326,1.9064114666110445,,,1,1,-1.330239615962768,0.3502995199534601,-0.02005990399069201
0.0,0.3651483716701107,2.77887129537773,1.1321647110874667e-32,4.136650753461323e-33,8.978275939864364,1.8506118065405917,1.8506145902552165,1.9094252686621171,,,1,1,-1.3850070191352086,0.41115151617588336,-0.026144497040674813
0.0,0.7302967433402215,2.786404922840986,8.647971414468847,3.3744632305849004e-35,8.648099320841878,1.964347949798309,,1.9642979864681223,,,1,1,-1.4396955679139112,0.4719049444061343,-0.03220937649222317
