a1,a2,max_dim,iLayer,logZ,magnetizationX,magnetizationY,magnetizationZ,magnetizationXY,magnetizationXYZ
0.0,2.449489742783178,10,0,-inf,0.0,0.0,0.0,0.0,0.0
0.0,2.449489742783178,10,1,1.2346340807344176,0.0,0.0,1.783473617196024,0.0,1.783473617196024
0.0,2.449489742783178,10,2,2.01956205476354,0.0,0.0,1.8800012209311157,0.0,1.8800012209311157
0.0,2.449489742783178,10,3,1.889571504845186,0.0,0.0,1.9880483083192035,0.0,1.9880483083192035
0.0,2.449489742783178,10,4,1.8360822855294243,0.0,0.0,1.9898141614566087,0.0,1.9898141614566087
0.0,2.449489742783178,10,5,1.814207550514392,0.0,0.0,1.9922038502028017,0.0,1.9922038502028017
0.0,2.449489742783178,10,6,1.8032890804213484,0.0,0.0,1.9920628491080583,0.0,1.9920628491080583
0.0,2.449489742783178,10,7,1.7978766765747465,0.0,0.0,1.992060232701578,0.0,1.992060232701578
0.0,2.449489742783178,10,8,1.7951690295884526,0.0,0.0,1.9920593396996131,0.0,1.9920593396996131
0.0,2.449489742783178,10,9,1.793815228027812,0.0,0.0,1.992059047854062,0.0,1.992059047854062
0.0,2.449489742783178,10,10,1.793138329349376,0.0,0.0,1.9920590020162567,0.0,1.9920590020162567
0.0,2.449489742783178,10,11,1.792799884065266,0.0,0.0,1.992058996695934,0.0,1.992058996695934
0.0,2.449489742783178,10,12,1.7926306695332253,0.0,0.0,1.992059024956796,0.0,1.992059024956796
0.0,2.449489742783178,10,13,1.7925460784842095,0.0,0.0,1.9920590851113795,0.0,1.9920590851113795
0.0,2.449489742783178,10,14,1.7925038153686503,0.0,0.0,1.9920592085644504,0.0,1.9920592085644504
0.0,2.449489742783178,10,15,1.792482748428494,0.0,0.0,1.9920594505017248,0.0,1.9920594505017248
0.0,2.449489742783178,10,16,1.792472342612074,0.0,0.0,1.992059899161784,0.0,1.992059899161784
0.0,2.449489742783178,10,17,1.7924673829894306,0.0,0.0,1.992060576603644,0.0,1.992060576603644
0.0,2.449489742783178,10,18,1.792465310105047,0.0,0.0,1.9920611459855408,0.0,1.9920611459855408
0.0,2.449489742783178,10,19,1.7924647343721634,0.0,0.0,1.992061290604882,0.0,1.992061290604882
0.0,2.449489742783178,10,20,1.7924646733275515,0.0,0.0,1.9920612956723345,0.0,1.9920612956723345
0.0,2.449489742783178,10,21,1.7924646722838489,0.0,0.0,1.9920612956779384,0.0,1.9920612956779384
0.0,2.449489742783178,10,22,1.7924646722832758,0.0,0.0,1.992061295680204,0.0,1.992061295680204
0.0,2.449489742783178,10,23,1.7924646722832758,0.0,0.0,1.992061295680186,0.0,1.992061295680186
0.0,2.449489742783178,10,24,1.7924646722832758,0.0,0.0,1.9920612956806492,0.0,1.9920612956806492
0.0,2.449489742783178,10,25,1.7924646722832758,0.0,0.0,1.9920612956806247,0.0,1.9920612956806247
0.0,2.449489742783178,10,26,1.7924646722832758,0.0,0.0,1.9920612956807056,0.0,1.9920612956807056
0.0,2.449489742783178,10,27,1.7924646722832758,0.0,0.0,1.9920612956806745,0.0,1.9920612956806745
0.0,2.449489742783178,10,28,1.7924646722832758,0.0,0.0,1.992061295680688,0.0,1.992061295680688
0.0,2.449489742783178,10,29,1.7924646722832758,0.0,0.0,1.9920612956806707,0.0,1.9920612956806707
0.0,2.449489742783178,10,30,1.7924646722832758,0.0,0.0,1.992061295680657,0.0,1.992061295680657
0.0,2.449489742783178,10,31,1.7924646722832758,0.0,0.0,1.992061295680635,0.0,1.992061295680635
0.0,2.449489742783178,10,32,1.7924646722832758,0.0,0.0,1.9920612956806245,0.0,1.9920612956806245
0.0,2.449489742783178,10,33,1.7924646722832758,0.0,0.0,1.9920612956805968,0.0,1.9920612956805968
0.0,2.449489742783178,10,34,1.7924646722832758,0.0,0.0,1.9920612956805923,0.0,1.9920612956805923
0.0,2.449489742783178,10,35,1.7924646722832758,0.0,0.0,1.9920612956805603,0.0,1.9920612956805603
0.0,2.449489742783178,10,36,1.7924646722832758,0.0,0.0,1.992061295680557,0.0,1.992061295680557
0.0,2.449489742783178,10,37,1.7924646722832758,0.0,0.0,1.992061295680536,0.0,1.992061295680536
0.0,2.449489742783178,10,38,1.7924646722832758,0.0,0.0,1.9920612956805328,0.0,1.9920612956805328
0.0,2.449489742783178,10,39,1.7924646722832758,0.0,0.0,1.9920612956805108,0.0,1.9920612956805108
0.0,2.449489742783178,10,40,1.7924646722832758,0.0,0.0,1.9920612956805035,0.0,1.9920612956805035
0.0,2.449489742783178,10,41,1.7924646722832758,0.0,0.0,1.9920612956804955,0.0,1.9920612956804955
0.0,2.449489742783178,10,42,1.7924646722832758,0.0,0.0,1.9920612956804935,0.0,1.9920612956804935
0.0,2.449489742783178,10,43,1.7924646722832758,0.0,0.0,1.9920612956804549,0.0,1.9920612956804549
0.0,2.449489742783178,10,44,1.7924646722832758,0.0,0.0,1.992061295680454,0.0,1.992061295680454
0.0,2.449489742783178,10,45,1.7924646722832758,0.0,0.0,1.992061295680413,0.0,1.992061295680413
0.0,2.449489742783178,10,46,1.7924646722832758,0.0,0.0,1.9920612956804096,0.0,1.9920612956804096
0.0,2.449489742783178,10,47,1.7924646722832758,0.0,0.0,1.9920612956803696,0.0,1.9920612956803696
