a1,a2,a3,max_dim,iLayer,logZ,magnetizationX,magnetizationY,magnetizationZ,magnetizationXY,magnetizationXYZ
0.0,0.0,0.0,10,60,1.7899156880843303,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.894427190999916,10,60,1.7828281623410769,0.0,0.0,9.775896142969711e-10,0.0,9.775896142969711e-10
0.0,0.0,1.788854381999832,10,60,1.7807225710630474,0.0,0.0,4.097373618637936e-09,0.0,4.097373618637936e-09
0.0,0.0,2.683281572999748,10,60,1.774028635496797,0.0,0.0,3.4799288968915e-14,0.0,3.4799288968915e-14
0.0,0.0,3.577708763999664,10,60,2.5428428955690365,0.0,0.0,3.0000029841389946,0.0,3.0000029841389946
0.0,0.0,4.47213595499958,10,60,2.995497437398411,0.0,0.0,2.9999999994689257,0.0,2.9999999994689257
0.0,0.0,5.366563145999496,10,60,3.360361619984928,0.0,0.0,2.999999999938271,0.0,2.999999999938271
0.0,0.0,6.260990336999412,10,60,3.668675538689429,0.0,0.0,2.9999999999956204,0.0,2.9999999999956204
0.0,0.0,7.155417527999328,10,60,3.935739387029825,0.0,0.0,3.0000000000000058,0.0,3.0000000000000058
0.0,0.0,8.049844718999244,10,60,4.171305581118011,0.0,0.0,2.9999999999994498,0.0,2.9999999999994498
0.0,0.0,8.94427190999916,10,60,4.382026630533543,0.0,0.0,3.0000000000000235,0.0,3.0000000000000235
0.0,0.3651483716701107,0.0,10,60,1.8342386804609512,0.0,0.0,2.8896492708463376e-20,0.0,2.8896492708463376e-20
0.0,0.3651483716701107,0.894427190999916,10,60,1.8383969957335944,0.0193155254067758,3.375140468294405e-09,1.9544344928354368e-19,0.019315525406776096,0.019315525406776096
0.0,0.3651483716701107,1.788854381999832,10,60,1.8527193024880468,7.884167272216594e-12,0.044177295589459,6.948507057461079e-19,0.044177295589459,0.044177295589459
0.0,0.3651483716701107,2.683281572999748,10,60,1.8542853627771687,0.068665597508063,0.0644944210989064,9.314117990439534e-17,0.09420453616478545,0.09420453616478545
0.0,0.3651483716701107,3.577708763999664,10,60,2.543201514477496,7.594893560092518e-18,1.976755169376853e-20,2.999323221433888,7.594919284971683e-18,2.999323221433888
0.0,0.3651483716701107,4.47213595499958,10,60,2.9956309455210555,6.896792426976651e-18,1.1450943598073691e-20,2.999731226051322,6.89680193313624e-18,2.999731226051322
0.0,0.3651483716701107,5.366563145999496,10,60,3.360425971829942,1.1680514069146373e-17,1.3589146060285794e-20,2.9998709902048954,1.1680521973970899e-17,2.9998709902048954
0.0,0.3651483716701107,6.260990336999412,10,60,3.66871026185142,2.494248038314673e-18,8.616683636245645e-21,2.999930469740268,2.4942629219618127e-18,2.999930469740268
0.0,0.3651483716701107,7.155417527999328,10,60,3.935759737905777,9.23160646822789e-19,5.213701969263968e-20,2.9999592708392893,9.2463173678211e-19,2.9999592708392893
0.0,0.3651483716701107,8.049844718999244,10,60,4.171318284810732,8.990129332418299e-19,2.6307023686541457e-21,2.999974582188468,8.990167822299154e-19,2.999974582188468
0.0,0.3651483716701107,8.94427190999916,10,60,4.382034964902424,7.29786647765964e-19,3.0276888209285797e-21,2.999983326805787,7.2979292827286255e-19,2.999983326805787
0.0,0.7302967433402215,0.0,10,60,1.9015596640762105,0.0,0.0,9.981245538749882e-18,0.0,9.981245538749882e-18
0.0,0.7302967433402215,0.894427190999916,10,60,1.9120767210782328,0.0506214800964626,6.120112561341979e-17,1.7565096746784628e-17,0.0506214800964626,0.0506214800964626
0.0,0.7302967433402215,1.788854381999832,10,60,1.939894088514204,0.0337492324005838,0.1038694605613821,1.6905609256941105e-18,0.10921481366985492,0.10921481366985492
0.0,0.7302967433402215,2.683281572999748,10,60,1.967164055604196,0.148470850272621,0.1435587920794792,1.739822139558202e-16,0.20652534993069055,0.20652534993069055
0.0,0.7302967433402215,3.577708763999664,10,60,2.548579240577265,1.1224889311411138e-17,5.769187139991311e-20,2.9886667333539423,1.1225037568108965e-17,2.9886667333539423
0.0,0.7302967433402215,4.47213595499958,10,60,2.9976429291100306,9.631861909135633e-18,3.038403492705684e-20,2.995636198150517,9.631909832750532e-18,2.995636198150517
0.0,0.7302967433402215,5.366563145999496,10,60,3.361392882454907,7.167166392573446e-18,2.5651245971137267e-22,2.9979217255216475,7.167166397163729e-18,2.9979217255216475
0.0,0.7302967433402215,6.260990336999412,10,60,3.669231629570598,1.8927818983736453e-17,8.708984318968246e-21,2.99888346378109,1.8927820987306013e-17,2.99888346378109
0.0,0.7302967433402215,7.155417527999328,10,60,3.936065180148304,3.327578605824556e-18,1.7496839047421914e-19,2.999346949760088,3.3321754629080436e-18,2.999346949760088
0.0,0.7302967433402215,8.049844718999244,10,60,4.171508909611759,8.816776608293638e-18,2.469111413228073e-20,2.999592777587972,8.81681118158209e-18,2.999592777587972
0.0,0.7302967433402215,8.94427190999916,10,60,4.382160010779238,7.218897425620903e-19,1.973823929522112e-31,2.9997329961974186,7.218897425620903e-19,2.9997329961974186
0.0,1.0954451150103324,0.0,10,60,2.031881351590606,0.0,0.0,2.2718898832349874e-16,0.0,2.2718898832349874e-16
0.0,1.0954451150103324,0.894427190999916,10,60,2.0421628313191245,4.4660363329305206e-15,0.0822113352381198,3.172376339625901e-20,0.0822113352381198,0.0822113352381198
0.0,1.0954451150103324,1.788854381999832,10,60,2.0705681793054938,3.6963078366337545e-15,0.1750546110231873,2.588228214038571e-19,0.1750546110231873,0.1750546110231873
