a1,a2,max_dim,iLayer,logZ,magnetizationX,magnetizationY,magnetizationZ,magnetizationXY,magnetizationXYZ
1.224744871391589,0.0,10,0,4.68213122712422,2.022599587389726,2.022599587389726,0.5559594491425692,2.860387767736776,2.9139164522870393
1.224744871391589,0.0,10,1,4.185477854204253,1.8350048547400672,1.8350048547400668,0.1960525635679532,2.595088752593874,2.602483859992372
1.224744871391589,0.0,10,2,3.812513528893151,1.693986261112398,1.693791711201664,0.1360049524288643,2.395520781327731,2.3993784947061187
1.224744871391589,0.0,10,3,3.611345772357045,1.610066455078882,1.594867188970257,0.1332099467439338,2.266255797615125,2.2701674453959755
1.224744871391589,0.0,10,4,3.5234916563157808,1.5867085522087705,1.5830799815567411,0.1343109864480871,2.2413804357266405,2.245401010674664
1.224744871391589,0.0,10,5,3.4675678191639854,1.574500084074548,1.5619215717932002,0.1344799884325569,2.217802856699328,2.2218763193464484
1.224744871391589,0.0,10,6,3.438116271855028,1.5668878924596314,1.5246941705414514,0.1343256332257288,2.1862822281717587,2.190404838599742
1.224744871391589,0.0,10,7,3.4236852489303877,1.5868365686034511,1.4933038399542895,0.1343076605906757,2.1789921188199375,2.183127390138455
1.224744871391589,0.0,10,8,3.4153265696123687,1.6287796736423603,1.4367141143837128,0.1342911394971357,2.171881827296294,2.176029591225112
1.224744871391589,0.0,10,9,3.410876036754322,1.745554769935769,1.283015311722896,0.134281298804938,2.166354021151879,2.1705117396986493
1.224744871391589,0.0,10,10,3.4085307430292504,1.9532938185451936,0.9743647660901168,0.134280180389074,2.1828292280810038,2.1869555564322822
1.224744871391589,0.0,10,11,3.4074322592748896,2.0815786686153577,0.7881311814612094,0.1342804503834687,2.225785369892148,2.2298322251194405
1.224744871391589,0.0,10,12,3.4069644663670404,2.135298717774704,0.7225765494135579,0.1342805394108903,2.2542443265743617,2.258240188101606
1.224744871391589,0.0,10,13,3.406741783979663,2.173295943833692,0.6793550736722681,0.1342807450159318,2.2770021026798,2.2809581087977624
1.224744871391589,0.0,10,14,3.4066483844792765,2.185317551650923,0.6666268559472224,0.1342808301406246,2.2847328435998078,2.2886754920623673
1.224744871391589,0.0,10,15,3.406604879620828,2.190817190136437,0.6609303781682687,0.1342808523496507,2.2883419598877617,2.2922784020905294
