a1,a2,max_dim,iLayer,logZ,magnetizationX,magnetizationY,magnetizationZ,magnetizationXY,magnetizationXYZ
0.0,2.449489742783178,10,0,4.68213122712422,0.0,0.0,3.1378581622109443,0.0,3.1378581622109443
0.0,2.449489742783178,10,1,4.115056077005109,0.0,0.0,3.753368020959603,0.0,3.753368020959603
0.0,2.449489742783178,10,2,3.7848044678852233,0.0,0.0,3.969752468525877,0.0,3.969752468525877
0.0,2.449489742783178,10,3,3.672522116286911,0.0,0.0,3.985820918133824,0.0,3.985820918133824
0.0,2.449489742783178,10,4,3.6279337279183945,0.0,0.0,3.9943230396226417,0.0,3.9943230396226417
0.0,2.449489742783178,10,5,3.605462361796542,0.0,0.0,3.998104947983532,0.0,3.998104947983532
0.0,2.449489742783178,10,6,3.5943560521270927,0.0,0.0,3.998118685286263,0.0,3.998118685286263
0.0,2.449489742783178,10,7,3.588939903692446,0.0,0.0,3.9981322287494474,0.0,3.9981322287494474
0.0,2.449489742783178,10,8,3.586231837558791,0.0,0.0,3.998135604267844,0.0,3.998135604267844
0.0,2.449489742783178,10,9,3.584877955030437,0.0,0.0,3.998134908694101,0.0,3.998134908694101
0.0,2.449489742783178,10,10,3.584201073745508,0.0,0.0,3.998134422063126,0.0,3.998134422063126
0.0,2.449489742783178,10,11,3.583862643200884,0.0,0.0,3.9981339562333424,0.0,3.9981339562333424
0.0,2.449489742783178,10,12,3.5836934373007727,0.0,0.0,3.998133277894896,0.0,3.998133277894896
0.0,2.449489742783178,10,13,3.583608855074298,0.0,0.0,3.99813203654921,0.0,3.99813203654921
0.0,2.449489742783178,10,14,3.583566607021281,0.0,0.0,3.998129618902911,0.0,3.998129618902911
0.0,2.449489742783178,10,15,3.5835455674578687,0.0,0.0,3.998124936649312,0.0,3.998124936649312
0.0,2.449489742783178,10,16,3.5835352141443595,0.0,0.0,3.99811647303462,0.0,3.99811647303462
0.0,2.449489742783178,10,17,3.583530350412142,0.0,0.0,3.998104622655673,0.0,3.998104622655673
0.0,2.449489742783178,10,18,3.583528416764947,0.0,0.0,3.998096319532965,0.0,3.998096319532965
0.0,2.449489742783178,10,19,3.583527909865483,0.0,0.0,3.998094747708224,0.0,3.998094747708224
0.0,2.449489742783178,10,20,3.583527909915974,0.0,0.0,3.9980947470580506,0.0,3.9980947470580506
0.0,2.449489742783178,10,21,3.5835279099444644,0.0,0.0,3.9980947466441634,0.0,3.9980947466441634
0.0,2.449489742783178,10,22,3.583527909952762,0.0,0.0,3.9980947464826526,0.0,3.9980947464826526
0.0,2.449489742783178,10,23,3.5835279099590664,0.0,0.0,3.9980947464043535,0.0,3.9980947464043535
0.0,2.449489742783178,10,24,3.583527909962627,0.0,0.0,3.998094746352211,0.0,3.998094746352211
0.0,2.449489742783178,10,25,3.583527909963664,0.0,0.0,3.9980947463321335,0.0,3.9980947463321335
0.0,2.449489742783178,10,26,3.5835279099644515,0.0,0.0,3.998094746322399,0.0,3.998094746322399
0.0,2.449489742783178,10,27,3.5835279099648965,0.0,0.0,3.998094746316,0.0,3.998094746316
0.0,2.449489742783178,10,28,3.583527909965026,0.0,0.0,3.998094746313469,0.0,3.998094746313469
0.0,2.449489742783178,10,29,3.5835279099651247,0.0,0.0,3.998094746312285,0.0,3.998094746312285
0.0,2.449489742783178,10,30,3.58352790996518,0.0,0.0,3.9980947463114056,0.0,3.9980947463114056
0.0,2.449489742783178,10,31,3.583527909965196,0.0,0.0,3.998094746311118,0.0,3.998094746311118
0.0,2.449489742783178,10,32,3.5835279099652086,0.0,0.0,3.9980947463110335,0.0,3.9980947463110335
0.0,2.449489742783178,10,33,3.583527909965216,0.0,0.0,3.9980947463108953,0.0,3.9980947463108953
0.0,2.449489742783178,10,34,3.583527909965218,0.0,0.0,3.998094746310851,0.0,3.998094746310851
0.0,2.449489742783178,10,35,3.5835279099652197,0.0,0.0,3.9980947463108754,0.0,3.9980947463108754
0.0,2.449489742783178,10,36,3.58352790996522,0.0,0.0,3.998094746310836,0.0,3.998094746310836
0.0,2.449489742783178,10,37,3.5835279099652206,0.0,0.0,3.9980947463108585,0.0,3.9980947463108585
0.0,2.449489742783178,10,38,3.5835279099652206,0.0,0.0,3.998094746310878,0.0,3.998094746310878
0.0,2.449489742783178,10,39,3.5835279099652206,0.0,0.0,3.9980947463109247,0.0,3.9980947463109247
0.0,2.449489742783178,10,40,3.5835279099652206,0.0,0.0,3.99809474631096,0.0,3.99809474631096
0.0,2.449489742783178,10,41,3.5835279099652206,0.0,0.0,3.998094746310956,0.0,3.998094746310956
0.0,2.449489742783178,10,42,3.5835279099652206,0.0,0.0,3.998094746310961,0.0,3.998094746310961
0.0,2.449489742783178,10,43,3.5835279099652206,0.0,0.0,3.9980947463109335,0.0,3.9980947463109335
0.0,2.449489742783178,10,44,3.5835279099652206,0.0,0.0,3.9980947463109566,0.0,3.9980947463109566
0.0,2.449489742783178,10,45,3.5835279099652206,0.0,0.0,3.998094746311123,0.0,3.998094746311123
0.0,2.449489742783178,10,46,3.5835279099652206,0.0,0.0,3.998094746311138,0.0,3.998094746311138
0.0,2.449489742783178,10,47,3.5835279099652206,0.0,0.0,3.998094746311165,0.0,3.998094746311165
0.0,2.449489742783178,10,48,3.5835279099652206,0.0,0.0,3.998094746311229,0.0,3.998094746311229
0.0,2.449489742783178,10,49,3.5835279099652206,0.0,0.0,3.998094746311253,0.0,3.998094746311253
0.0,2.449489742783178,10,50,3.5835279099652206,0.0,0.0,3.998094746311273,0.0,3.998094746311273
0.0,2.449489742783178,10,51,3.5835279099652206,0.0,0.0,3.998094746311427,0.0,3.998094746311427
0.0,2.449489742783178,10,52,3.5835279099652206,0.0,0.0,3.99809474631146,0.0,3.99809474631146
0.0,2.449489742783178,10,53,3.5835279099652206,0.0,0.0,3.9980947463114815,0.0,3.9980947463114815
0.0,2.449489742783178,10,54,3.5835279099652206,0.0,0.0,3.9980947463115193,0.0,3.9980947463115193
0.0,2.449489742783178,10,55,3.5835279099652206,0.0,0.0,3.998094746311562,0.0,3.998094746311562
0.0,2.449489742783178,10,56,3.5835279099652206,0.0,0.0,3.998094746311604,0.0,3.998094746311604
0.0,2.449489742783178,10,57,3.5835279099652206,0.0,0.0,3.998094746311648,0.0,3.998094746311648
0.0,2.449489742783178,10,58,3.5835279099652206,0.0,0.0,3.998094746311661,0.0,3.998094746311661
0.0,2.449489742783178,10,59,3.5835279099652206,0.0,0.0,3.9980947463116574,0.0,3.9980947463116574
0.0,2.449489742783178,10,60,3.5835279099652206,0.0,0.0,3.998094746311837,0.0,3.998094746311837
0.1224744871391589,2.449489742783178,10,0,4.682197891568762,0.037232457266185,0.037232457266185,3.137597214625852,0.05265464602631552,3.138039004374557
0.1224744871391589,2.449489742783178,10,1,4.120439308659325,0.0202371592152664,0.0202371592152664,3.748912113507368,0.028619665026133403,3.7490213549709863
0.1224744871391589,2.449489742783178,10,2,3.785178568251329,0.0062912525254823,0.0062912525254823,3.970651441604392,0.008897174645851054,3.97066140969382
0.1224744871391589,2.449489742783178,10,3,3.6720119491440544,0.0052737840206093,0.0052737840206093,3.9884298342700575,0.007458256886972182,3.988436807634198
0.1224744871391589,2.449489742783178,10,4,3.6276968691072056,0.0051611426332781,0.0051611426332781,3.993803302709554,0.0072989579093238775,3.9938099723848035
0.1224744871391589,2.449489742783178,10,5,3.605566394919662,0.0051141105964546,0.0051141105964546,3.9978512181062262,0.0072324445649820535,3.9978577601470295
0.1224744871391589,2.449489742783178,10,6,3.5944030008236543,0.0050846800103488,0.0050846800103488,3.997855798793562,0.007190823430962642,3.997862265747649
0.1224744871391589,2.449489742783178,10,7,3.588987202573486,0.0050817031044881,0.0050817031044881,3.997862293526456,0.007186613450320533,3.997868752899912
0.1224744871391589,2.449489742783178,10,8,3.586279427386724,0.0050811325787857,0.0050811325787857,3.9978675906791934,0.007185806605134516,3.9978740485937805
0.1224744871391589,2.449489742783178,10,9,3.584925533265949,0.0050806149544469,0.0050806149544469,3.997866697415743,0.0071850745737743705,3.9978731540160815
0.1224744871391589,2.449489742783178,10,10,3.584248643503306,0.0050805458040443,0.0050805458040443,3.9978664431126254,0.00718497678033717,3.997872899537619
0.1224744871391589,2.449489742783178,10,11,3.583910201681227,0.0050805358756141,0.0050805358756141,3.9978662616558265,0.0071849627394165285,3.997872718055879
0.1224744871391589,2.449489742783178,10,12,3.5837409762950982,0.0050805267790981,0.0050805267790981,3.997866261126189,0.0071849498750002315,3.997872717503122
0.1224744871391589,2.449489742783178,10,13,3.5836563636021586,0.0050805257425188,0.0050805257425188,3.997866261077234,0.007184948409055726,3.997872717451533
0.1224744871391589,2.449489742783178,10,14,3.583614057255689,0.0050805255434154,0.0050805255434154,3.997866261070171,0.007184948127480998,3.997872717443964
0.1224744871391589,2.449489742783178,10,15,3.583592904082454,0.0050805254006552,0.0050805254006552,3.9978662610619087,0.007184947925587586,3.997872717435339
