a1,a2,a3,max_dim,iLayer,logZ,magnetizationX,magnetizationY,magnetizationZ,magnetizationXY,magnetizationXYZ
1.1547005383792517,1.8257418583505536,4.47213595499958,10,0,-34.657359027997266,2.624990051063974,2.624990051063974,0.0,3.712296531309115,3.712296531309115
1.1547005383792517,1.8257418583505536,4.47213595499958,10,1,2.486577322171483,1.497900250112139,1.3094109374991147,1.6493350584489266,1.989538178203253,2.5842926106687383
1.1547005383792517,1.8257418583505536,4.47213595499958,10,2,2.8924974225476805,1.5797901589642396,1.6640644479834723,1.4738393129892544,2.2945255355743583,2.72709547942778
1.1547005383792517,1.8257418583505536,4.47213595499958,10,3,3.3617676433332115,1.510614659218929,1.6250062719088296,1.3529828717394814,2.2186937671499765,2.5986851836285534
1.1547005383792517,1.8257418583505536,4.47213595499958,10,4,3.234227930899364,1.4428061693688528,1.651368988768715,1.2765061343417554,2.192876918442034,2.537356319173159
1.1547005383792517,1.8257418583505536,4.47213595499958,10,5,3.164379701301685,1.3082530304157762,1.7211026256460704,1.2471658526689118,2.1618788679289733,2.495825094765503
1.1547005383792517,1.8257418583505536,4.47213595499958,10,6,3.129411505224332,1.0858880624680267,1.8098646501858973,1.2473548711888354,2.1106309332053024,2.451664151322852
1.1547005383792517,1.8257418583505536,4.47213595499958,10,7,3.111903773630416,0.8397043359623515,1.8921251983969876,1.3242103131165597,2.0700823989017474,2.4573917253069504
1.1547005383792517,1.8257418583505536,4.47213595499958,10,8,3.1031506404409264,0.6162812197955925,1.9375549414228803,1.3798939737513407,2.033204783809286,2.4572401330965254
1.1547005383792517,1.8257418583505536,4.47213595499958,10,9,3.0992168890237317,0.50388789778965,1.952271827194764,1.3935044171152082,2.0162510510343834,2.450943259505787
1.1547005383792517,1.8257418583505536,4.47213595499958,10,10,3.0973291632995816,0.4573639704457883,1.958119803171281,1.3996394332403692,2.010824449083876,2.4499807158659217
1.1547005383792517,1.8257418583505536,4.47213595499958,10,11,3.096401770270869,0.4473258594244224,1.958444959556244,1.401795312444,2.0088820483346095,2.449619803584023
1.1547005383792517,1.8257418583505536,4.47213595499958,10,12,3.0959676670131064,0.4485772955637613,1.9571105370299813,1.4016946513798882,2.0078603647288524,2.448724390362473
1.1547005383792517,1.8257418583505536,4.47213595499958,10,13,3.095771789193446,0.4559958078686673,1.956116705364724,1.4012994091910893,2.0085628548294774,2.4490742691882654
1.1547005383792517,1.8257418583505536,4.47213595499958,10,14,3.095679499861853,0.4571179074862869,1.9558046205698487,1.4011477642179426,2.0085140017403442,2.448947437647438
1.1547005383792517,1.8257418583505536,4.47213595499958,10,15,3.095636153610874,0.4574484789292481,1.955751034455212,1.4011216417144703,2.0085370844590633,2.4489514234724967
1.1547005383792517,1.8257418583505536,4.47213595499958,10,16,3.095614826060685,0.4574689633499012,1.9557370864743908,1.4011144664740645,2.008528168545259,2.448940005798973
1.1547005383792517,1.8257418583505536,4.47213595499958,10,17,3.0956041891813038,0.4574604304377671,1.955733531904124,1.401112597778899,2.008522763931364,2.4489345040007136
1.1547005383792517,1.8257418583505536,4.47213595499958,10,18,3.095598882352092,0.4574506796757633,1.9557326552867773,1.4011121109013551,2.008519689545235,2.448931703948752
1.1547005383792517,1.8257418583505536,4.47213595499958,10,19,3.0955962310308798,0.4574486076057009,1.95573204222508,1.4011117489797398,2.0085186206720307,2.4489306202331136
1.1547005383792517,1.8257418583505536,4.47213595499958,10,20,3.095594905642854,0.4574507986143941,1.9557313623778556,1.401111309661744,2.008518457704905,2.44893023522585
1.1547005383792517,1.8257418583505536,4.47213595499958,10,21,3.0955942442131774,0.4574568505538335,1.955730184990932,1.4011105304680336,2.0085186896325604,2.448929979642479
1.1547005383792517,1.8257418583505536,4.47213595499958,10,22,3.095593914527771,0.4574673637262083,1.955728129060376,1.4011091415880828,2.008519082227651,2.448929507012054
1.1547005383792517,1.8257418583505536,4.47213595499958,10,23,3.09559375173598,0.4574842761430029,1.9557249105286696,1.4011069298617045,2.0085198003954208,2.4489288306292103
1.1547005383792517,1.8257418583505536,4.47213595499958,10,24,3.095593673591432,0.4575014453080642,1.95572180331271,1.401104543582065,2.0085206855822237,2.4489281913641308
1.1547005383792517,1.8257418583505536,4.47213595499958,10,25,3.095593633563106,0.4574931690955575,1.9557220252822167,1.401107323335722,2.008519016574917,2.4489284128875766
1.1547005383792517,1.8257418583505536,4.47213595499958,10,26,3.09559361532245,0.4575044811786577,1.955721025945256,1.4011044034741296,2.008520620163736,2.4489280575503876
1.1547005383792517,1.8257418583505536,4.47213595499958,10,27,3.0955936314032324,0.4575064011870292,1.9557208560098407,1.401103906091942,2.008520892039456,2.4489279959658
1.1547005383792517,1.8257418583505536,4.47213595499958,10,28,3.0955936277780105,0.4574946132340766,1.955721897361232,1.4011069558406528,2.0085192209576723,2.4489283702594236
1.1547005383792517,1.8257418583505536,4.47213595499958,10,29,3.095593625850241,0.4575046947950685,1.955721006608175,1.401104347021867,2.00852064999293,2.4489280497171806
1.1547005383792517,1.8257418583505536,4.47213595499958,10,30,3.095593627561074,0.457507532800274,1.9557207558533964,1.401103612642134,2.0085210522782115,2.448927959496484
1.1547005383792517,1.8257418583505536,4.47213595499958,10,31,3.095593627042027,0.4574994644929069,1.955721468702425,1.4011057004002834,2.0085199085781715,2.4489282159444845
1.1547005383792517,1.8257418583505536,4.47213595499958,10,32,3.0955936270638964,0.4575079708925921,1.9557207171420803,1.4011034992329865,2.008521114374701,2.44892794554105
1.1547005383792517,1.8257418583505536,4.47213595499958,10,33,3.095593627041472,0.4575000885987244,1.95572141356146,1.4011055388800928,2.0085199970452563,2.448928196091333
1.1547005383792517,1.8257418583505536,4.47213595499958,10,34,3.0955936270629985,0.457510806984053,1.9557204665646049,1.4011027653314696,2.0085215164012746,2.4489278553820992
1.1547005383792517,1.8257418583505536,4.47213595499958,10,35,3.0955936270384057,0.4575016569849461,1.955721274991706,1.4011051330365287,2.0085202193652805,2.4489281462346875
1.1547005383792517,1.8257418583505536,4.47213595499958,10,36,3.095593627060415,0.4574968388733718,1.9557217006783263,1.4011063797774257,2.008519536395714,2.4489282993865413
1.1547005383792517,1.8257418583505536,4.47213595499958,10,37,3.095593627050483,0.4575052989982291,1.955720953212015,1.4011041906132722,2.008520735627086,2.4489280304651757
1.1547005383792517,1.8257418583505536,4.47213595499958,10,38,3.095593627054773,0.4575170137731517,1.9557199181684943,1.4011011591951132,2.0085223962437873,2.448927658080323
1.1547005383792517,1.8257418583505536,4.47213595499958,10,39,3.095593627051263,0.4575024700715142,1.9557212031540177,1.4011049226383157,2.0085203346214184,2.448928120388399
